Driver,peak_points,years_raced
Jim Clark CLA,8.56075,9
James Hunt HUN,8.134,7
Alain Prost PRO,7.5645,14
Juan Manuel Fangio FAN,6.988,9
Damon Hill HIL,6.644,8
Fernando Alonso ALO,6.5655,22
Jackie Stewart STE,6.1575,9
Masten Gregory GRE,6.11675,9
Niki Lauda LAU,6.05825,15
Mike Spence SPE,6.009,6
Michael Schumacher MSC,5.6035,22
John Watson WAT,5.56525,13
Mika Hakkinen HAK,5.3435,11
Jenson Button BUT,5.28825,18
Charles Leclerc LEC,5.24225,5
Lewis Hamilton HAM,5.2355,16
Clay Regazzoni REG,5.22925,11
Pedro Rodriguez ROD,5.1615,9
Nico Rosberg ROS,5.14375,11
Max Verstappen VER,5.13925,8
